code,name,price,expected_per,expected_dividend_yield,expected_roe,actual_pbr,stock_name,last_price,last_news_text,last_news_url,last_disclosure,last_disclosure_url
1301,極洋,4540.0,6.5,3.3,12.3,0.78,極洋,4540.0,,,,
1332,ニッスイ,972.6,11.7,2.87,9.0,1.08,ニッスイ,972.6,,,,
1333,マルハニチロ,3295.0,9.4,3.33,7.6,0.73,マルハニチロ,3295.0,,,,
1375,ユキグニファクトリー,1114.0,22.0,1.43,16.3,3.95,ユキグニファクトリー,1114.0,,,,
1377,サカタのタネ,3615.0,17.3,2.07,5.6,0.97,サカタのタネ,3615.0,,,,
1379,ホクト,1885.0,13.5,2.65,7.6,1.03,ホクト,1885.0,,,,
1407,ウエストホールディングス,1652.0,13.1,3.93,16.0,2.08,ウエストホールディングス,1652.0,,,,
1414,ショーボンドホールディングス,5014.0,17.4,2.84,14.1,2.51,ショーボンドホールディングス,5014.0,,,,
1417,ミライト・ワン,2898.0,12.2,2.93,8.0,0.98,ミライト・ワン,2898.0,,,,
1419,タマホーム,3705.0,17.9,5.29,17.5,3.13,タマホーム,3705.0,,,,
1435,robot home,164.0,13.3,1.21,11.8,1.57,robot home,164.0,,,,
1515,日鉄鉱業,7730.0,16.8,2.36,5.1,0.85,日鉄鉱業,7730.0,,,,
1518,三井松島ホールディングス,6410.0,8.6,3.58,8.9,0.77,三井松島ホールディングス,6410.0,,,,
1605,INPEX,2230.0,8.9,4.03,6.2,0.55,INPEX,2230.0,,,,
1662,石油資源開発,1162.0,9.0,3.44,6.3,0.56,石油資源開発,1162.0,,,,
1712,ダイセキ環境ソリューション,1212.0,15.0,1.32,7.7,1.14,ダイセキ環境ソリューション,1212.0,,,,
1719,安藤ハザマ,1691.0,14.7,4.73,10.5,1.55,安藤ハザマ,1691.0,,,,
1720,東急建設,1108.0,16.0,3.51,7.2,1.16,東急建設,1108.0,,,,
1721,コムシスホールディングス,3638.0,13.6,3.29,8.3,1.14,コムシスホールディングス,3638.0,,,,
1726,ビーアールホールディングス,353.0,12.2,4.53,8.7,1.06,ビーアールホールディングス,353.0,,,,
1762,高松コンストラクショングループ,3380.0,15.0,2.66,5.7,0.86,高松コンストラクショングループ,3380.0,,,,
1766,東建コーポレーション,14570.0,13.3,2.47,11.0,1.46,東建コーポレーション,14570.0,,,,
1780,ヤマウラ,1341.0,8.0,1.93,13.5,1.07,ヤマウラ,1341.0,,,,
1801,大成建設,9603.0,19.9,1.56,9.2,1.84,大成建設,9603.0,,,,
1802,大林組,2327.5,16.3,3.52,8.6,1.41,大林組,2327.5,,,,
1803,清水建設,1826.5,16.5,2.4,8.7,1.43,清水建設,1826.5,,,,
1805,島建設 : 日経会社情報DIGITAL : 日経電子版,,,,,,島建設 : 日経会社情報DIGITAL : 日経電子版,,,,,
1808,長谷工コーポレーション,2402.0,11.7,3.74,10.3,1.23,長谷工コーポレーション,2402.0,,,,
1812,鹿島,4152.0,14.8,2.69,10.3,1.56,鹿島,4152.0,,,,
1813,不動テトラ,2613.0,14.9,2.67,7.7,1.16,不動テトラ,2613.0,,,,
1815,鉄建,3350.0,12.9,3.88,5.2,0.65,鉄建,3350.0,,,,
1820,西松建設,5092.0,11.4,4.32,10.2,1.16,西松建設,5092.0,,,,
1821,三井住友建設,598.0,,,,1.38,三井住友建設,598.0,,,,
1822,大豊建設,886.0,19.5,3.61,5.6,1.09,大豊建設,886.0,,,,
1833,奥村組,4800.0,15.2,4.58,6.4,0.98,奥村組,4800.0,,,,
1835,東鉄工業,4375.0,12.5,3.2,10.0,1.26,東鉄工業,4375.0,,,,
1852,浅沼組,843.0,14.2,4.92,10.4,1.53,浅沼組,843.0,,,,
1860,戸田建設,1042.0,14.8,3.83,6.1,0.91,戸田建設,1042.0,,,,
1861,熊谷組,4745.0,13.2,3.37,8.5,1.12,熊谷組,4745.0,,,,
1870,矢作建設工業,2145.0,13.9,4.19,9.6,1.32,矢作建設工業,2145.0,,,,
1871,ピーエス・コンストラクション,1842.0,13.8,4.34,10.7,1.48,ピーエス・コンストラクション,1842.0,,,,
1878,大東建託,16185.0,11.9,4.23,19.2,2.32,大東建託,16185.0,,,,
1882,東亜道路工業,1611.0,18.0,5.58,7.4,1.46,東亜道路工業,1611.0,,,,
1884,日本道路,2513.0,18.1,0.0,5.8,1.07,日本道路,2513.0,,,,
1885,東亜建設工業,2099.0,13.1,3.62,11.7,1.54,東亜建設工業,2099.0,,,,
1887,日本国土開発,489.0,19.4,4.49,3.0,0.58,日本国土開発,489.0,,,,
1890,東洋建設,1644.0,18.1,5.47,11.0,2.14,東洋建設,1644.0,,,,
1893,五洋建設,1060.0,11.7,3.2,14.5,1.7,五洋建設,1060.0,,,,
1898,世紀東急工業,1528.0,14.3,4.58,9.4,1.38,世紀東急工業,1528.0,,,,
1911,住友林業,1530.0,9.7,3.26,10.9,1.07,住友林業,1530.0,,,,
1925,大和ハウス工業,5282.0,11.9,3.21,10.4,1.25,大和ハウス工業,5282.0,,,,
1926,ライト工業,3275.0,15.0,3.26,10.8,1.62,ライト工業,3275.0,,,,
1928,積水ハウス,3317.0,9.2,4.34,11.8,1.14,積水ハウス,3317.0,,,,
1929,日特建設,1235.0,15.3,3.96,9.7,1.5,日特建設,1235.0,,,,
1934,ユアテック,2640.0,14.8,2.72,8.3,1.25,ユアテック,2640.0,,,,
1941,中電工,3870.0,13.2,3.35,7.0,0.92,中電工,3870.0,,,,
1942,関電工,3843.0,17.0,2.34,12.5,2.1,関電工,3843.0,,,,
1944,きんでん,5282.0,20.0,1.89,8.7,1.76,きんでん,5282.0,,,,
1949,住友電設,6990.0,18.9,2.23,11.4,2.17,住友電設,6990.0,,,,
1950,日本電設工業,2910.0,12.6,3.16,6.8,0.88,日本電設工業,2910.0,,,,
1951,エクシオグループ,2100.0,14.3,3.14,9.3,1.34,エクシオグループ,2100.0,,,,
1959,九電工,7193.0,15.8,2.5,10.3,1.62,九電工,7193.0,,,,
1961,三機工業,4895.0,13.0,3.37,18.4,2.38,三機工業,4895.0,,,,
1963,日揮ホールディングス,1357.0,21.8,2.94,3.8,0.86,日揮ホールディングス,1357.0,,,,
1967,ヤマト,2026.0,11.9,2.31,9.2,1.1,ヤマト,2026.0,,,,
1968,太平電業,6420.0,12.7,3.13,9.3,1.19,太平電業,6420.0,,,,
1969,高砂熱学工業,8490.0,19.3,2.03,15.9,3.07,高砂熱学工業,8490.0,,,,
1973,ECネッツエスアイ : 日経会社情報DIGITAL : 日経電子版,,,,,,ECネッツエスアイ : 日経会社情報DIGITAL : 日経電子版,,,,,
1976,明星工業,1620.0,12.4,3.7,9.0,1.14,明星工業,1620.0,,,,
1979,大気社,2929.0,15.5,3.2,8.1,1.26,大気社,2929.0,,,,
1982,日比谷総合設備,4535.0,16.4,2.2,8.5,1.4,日比谷総合設備,4535.0,,,,
2001,ニップン,2307.0,9.6,2.86,8.3,0.74,ニップン,2307.0,,,,
2002,日清製粉グループ本社,1794.0,13.3,3.34,8.0,1.06,日清製粉グループ本社,1794.0,,,,
2004,昭和産業,3025.0,10.3,3.3,7.0,0.72,昭和産業,3025.0,,,,
2053,中部飼料,1801.0,12.8,3.33,6.1,0.77,中部飼料,1801.0,,,,
2060,フィード・ワン,1099.0,8.0,3.82,9.5,0.75,フィード・ワン,1099.0,,,,
2109,DM三井製糖,3220.0,13.0,4.03,6.7,0.9,DM三井製糖,3220.0,,,,
2117,ウェルネオシュガー,2391.0,13.2,4.51,8.1,1.06,ウェルネオシュガー,2391.0,,,,
2121,MIXI,3225.0,16.7,3.72,7.3,1.23,MIXI,3225.0,,,,
2124,ジェイエイシーリクルートメント,1073.0,24.3,2.98,38.7,10.32,ジェイエイシーリクルートメント,1073.0,,,,
2127,日本M&Aセンターホールディングス,760.5,21.9,3.81,23.3,5.51,日本M&Aセンターホールディングス,760.5,,,,
2130,メンバーズ,1274.0,20.3,2.59,13.8,3.04,メンバーズ,1274.0,,,,
2138,クルーズ,648.0,,0.0,0.0,0.68,クルーズ,648.0,,,,
2146,UTグループ,2623.0,13.0,6.2,26.3,3.43,UTグループ,2623.0,,,,
2148,アイティメディア,1606.0,20.7,6.22,16.0,4.05,アイティメディア,1606.0,,,,
2150,ケアネット,758.0,20.9,1.58,13.5,2.93,ケアネット,758.0,,,,
2153,E・Jホールディングス,1833.0,9.8,3.76,9.8,0.96,E・Jホールディングス,1833.0,,,,
2154,オープンアップグループ,1943.0,15.3,3.86,14.6,2.25,オープンアップグループ,1943.0,,,,
2157,コシダカホールディングス,1406.0,15.4,1.7,22.0,3.28,コシダカホールディングス,1406.0,,,,
2158,FRONTEO,1020.0,65.2,0.0,20.7,13.53,FRONTEO,1020.0,,,,
2160,ジーエヌアイグループ,2968.0,12.4,0.0,33.1,4.4,ジーエヌアイグループ,2968.0,,,,
2163,アルトナー,1864.0,15.5,4.5,27.1,4.28,アルトナー,1864.0,,,,
2168,パソナグループ,2132.0,161.8,3.51,0.4,0.6,パソナグループ,2132.0,,,,
2170,リンクアンドモチベーション,551.0,15.7,2.83,34.4,5.23,リンクアンドモチベーション,551.0,,,,
2175,エス・エム・エス,1577.0,18.4,1.8,14.9,2.96,エス・エム・エス,1577.0,,,,
2181,パーソルホールディングス,305.4,16.5,3.6,21.6,3.57,パーソルホールディングス,305.4,,,,
2183,リニカル,338.0,50.9,4.73,2.1,1.05,リニカル,338.0,,,,
2193,クックパッド,211.0,35.4,0.0,3.3,1.16,クックパッド,211.0,,,,
2198,アイ・ケイ・ケイホールディングス,796.0,20.7,3.01,10.8,2.24,アイ・ケイ・ケイホールディングス,796.0,,,,
2201,森永製菓,2629.0,12.4,2.47,13.6,1.77,森永製菓,2629.0,,,,
2206,江崎グリコ,4939.0,39.3,1.92,3.0,1.18,江崎グリコ,4939.0,,,,
2211,不二家,2544.0,36.4,1.17,3.1,1.14,不二家,2544.0,,,,
2212,山崎製パン,3503.0,18.2,1.42,9.0,1.64,山崎製パン,3503.0,,,,
2217,モロゾフ,1583.0,55.1,0.88,3.0,1.65,モロゾフ,1583.0,,,,
2220,亀田製菓,4265.0,3.7,1.35,32.0,0.97,亀田製菓,4265.0,,,,
2222,寿スピリッツ,1937.5,22.3,1.8,33.4,7.99,寿スピリッツ,1937.5,,,,
2229,カルビー,2750.0,16.7,2.18,10.0,1.7,カルビー,2750.0,,,,
2264,森永乳業,3264.0,14.1,2.84,7.1,1.01,森永乳業,3264.0,,,,
2267,ヤクルト本社,2424.0,15.6,2.72,7.9,1.3,ヤクルト本社,2424.0,,,,
2269,明治ホールディングス,3056.0,15.3,3.43,7.2,1.11,明治ホールディングス,3056.0,,,,
2270,雪印メグミルク,2808.0,5.8,3.56,12.3,0.71,雪印メグミルク,2808.0,,,,
2281,プリマハム,2405.0,15.1,3.32,6.7,1.01,プリマハム,2405.0,,,,
2282,日本ハム,5452.0,17.9,2.86,5.7,1.02,日本ハム,5452.0,,,,
2292,エスフーズ,2724.0,19.1,3.81,3.7,0.7,エスフーズ,2724.0,,,,
2294,柿安本店,2785.0,31.3,3.05,5.7,1.77,柿安本店,2785.0,,,,
2296,伊藤ハム米久ホールディングス,5640.0,18.2,5.67,6.1,1.11,伊藤ハム米久ホールディングス,5640.0,,,,
2305,スタジオアリス,2167.0,25.3,2.3,4.9,1.26,スタジオアリス,2167.0,,,,
2309,経会社情報DIGITAL : 日経電子版,,,,,,経会社情報DIGITAL : 日経電子版,,,,,
2317,システナ,509.0,19.3,2.35,29.0,5.53,システナ,509.0,,,,
2326,デジタルアーツ,7420.0,23.9,1.28,24.2,5.91,デジタルアーツ,7420.0,,,,
2327,日鉄ソリューションズ,3531.0,22.1,2.26,11.2,2.49,日鉄ソリューションズ,3531.0,,,,
2331,ALSOK,1122.0,18.5,2.42,8.7,1.61,ALSOK,1122.0,,,,
2337,いちご,425.0,11.0,2.7,14.4,1.64,いちご,425.0,,,,
2353,日本駐車場開発,292.0,19.4,2.73,28.9,5.2,日本駐車場開発,292.0,,,,
2371,カカクコム,2830.0,29.4,1.76,30.7,10.02,カカクコム,2830.0,,,,
2372,イロムグループ : 日経会社情報DIGITAL : 日経電子版,,,,,,イロムグループ : 日経会社情報DIGITAL : 日経電子版,,,,,
2374,セントケア・ホールディング,787.0,14.5,3.93,8.0,1.15,セントケア・ホールディング,787.0,,,,
2375,ギグワークス,237.0,117.3,0.84,1.6,1.84,ギグワークス,237.0,,,,
2378,ルネサンス,1195.0,27.2,1.08,7.0,2.23,ルネサンス,1195.0,,,,
2379,ディップ,2496.0,16.3,3.8,22.3,3.67,ディップ,2496.0,,,,
2384,SBSホールディングス,3405.0,12.0,2.49,12.7,1.57,SBSホールディングス,3405.0,,,,
2389,デジタルホールディングス,1448.0,11.4,3.17,7.7,0.89,デジタルホールディングス,1448.0,,,,
2395,,,,,,,,,,,,
2412,経会社情報DIGITAL : 日経電子版,,,,,,経会社情報DIGITAL : 日経電子版,,,,,
2413,エムスリー,2169.0,32.6,0.96,11.9,3.92,エムスリー,2169.0,,,,
2427,経会社情報DIGITAL : 日経電子版,,,,,,経会社情報DIGITAL : 日経電子版,,,,,
2429,ワールドホールディングス,2450.0,8.1,4.33,11.8,0.95,ワールドホールディングス,2450.0,,,,
2432,ディー・エヌ・エー,2270.0,16.8,1.76,6.2,0.94,ディー・エヌ・エー,2270.0,,,,
2433,博報堂DYホールディングス,1199.0,22.0,2.66,5.1,1.15,博報堂DYホールディングス,1199.0,,,,
2438,アスカネット,423.0,25.3,1.65,4.8,1.22,アスカネット,423.0,,,,
2453,経会社情報DIGITAL : 日経電子版,,,,,,経会社情報DIGITAL : 日経電子版,,,,,
2461,ファンコミュニケーションズ,506.0,28.4,5.33,6.6,1.95,ファンコミュニケーションズ,506.0,,,,
2462,ライク,1468.0,10.2,4.08,15.5,1.58,ライク,1468.0,,,,
2471,エスプール,333.0,13.6,3.0,20.8,2.83,エスプール,333.0,,,,
2477,手間いらず,2918.0,16.3,1.37,16.4,2.68,手間いらず,2918.0,,,,
2484,出前館,182.0,,0.0,,0.66,出前館,182.0,,,,
2489,アドウェイズ,293.0,574.5,2.16,0.2,0.86,アドウェイズ,293.0,,,,
2491,バリューコマース,821.0,8.4,5.96,14.9,1.25,バリューコマース,821.0,,,,
2492,インフォマート,440.0,73.4,1.01,11.7,8.6,インフォマート,440.0,,,,
2497,ユナイテッド,569.0,,4.04,,1.14,ユナイテッド,569.0,,,,
2501,サッポロホールディングス,7043.0,49.8,0.85,5.7,2.84,サッポロホールディングス,7043.0,,,,
2502,アサヒグループホールディングス,1979.0,17.7,2.62,6.3,1.11,アサヒグループホールディングス,1979.0,,,,
2503,キリンホールディングス,2100.0,11.3,3.52,13.4,1.51,キリンホールディングス,2100.0,,,,
2531,宝ホールディングス,1303.0,15.4,2.37,6.6,1.02,宝ホールディングス,1303.0,,,,
2533,オエノンホールディングス,624.0,12.1,1.6,11.8,1.42,オエノンホールディングス,624.0,,,,
2579,コカ・コーラボトラーズジャパンホールディングス,2616.5,,2.17,,1.16,コカ・コーラボトラーズジャパンホールディングス,2616.5,,,,
2587,サントリー食品インターナショナル,4772.0,16.3,2.51,7.4,1.2,サントリー食品インターナショナル,4772.0,,,,
2590,ダイドーグループホールディングス,2733.0,21.6,1.09,4.4,0.98,ダイドーグループホールディングス,2733.0,,,,
2593,伊藤園,3398.0,25.0,1.41,9.2,2.24,伊藤園,3398.0,,,,
2594,キーコーヒー,2005.0,71.5,0.59,1.9,1.39,キーコーヒー,2005.0,,,,
2602,日清オイリオグループ,5050.0,5.8,3.56,14.7,0.8,日清オイリオグループ,5050.0,,,,
2607,不二製油,2802.0,14.5,1.85,,1.14,不二製油,2802.0,,,,
2613,J－オイルミルズ,2058.0,9.7,3.4,6.6,0.64,J－オイルミルズ,2058.0,,,,
2651,経会社情報DIGITAL : 日経電子版,,,,,,経会社情報DIGITAL : 日経電子版,,,,,
2659,サンエー,3050.0,17.1,3.27,7.3,1.27,サンエー,3050.0,,,,
2664,カワチ薬品,2821.0,12.8,2.83,4.3,0.55,カワチ薬品,2821.0,,,,
2670,エービーシー・マート,3027.0,16.4,2.31,12.4,2.04,エービーシー・マート,3027.0,,,,
2678,アスクル,1588.0,22.1,2.39,8.5,1.87,アスクル,1588.0,,,,
2681,ゲオホールディングス,1651.0,11.9,2.05,6.1,0.71,ゲオホールディングス,1651.0,,,,
2685,アダストリア,3085.0,11.4,2.91,16.1,1.82,アダストリア,3085.0,,,,
2692,伊藤忠食品,10700.0,16.3,1.49,7.2,1.14,伊藤忠食品,10700.0,,,,
2695,くら寿司,4000.0,46.7,0.5,5.6,2.62,くら寿司,4000.0,,,,
2698,キャンドゥ,3845.0,615.2,0.44,1.0,5.81,キャンドゥ,3845.0,,,,
2702,日本マクドナルドホールディングス,6300.0,27.4,0.88,12.1,3.29,日本マクドナルドホールディングス,6300.0,,,,
2715,レマテック : 日経会社情報DIGITAL : 日経電子版,,,,,,レマテック : 日経会社情報DIGITAL : 日経電子版,,,,,
2726,パルグループホールディングス,5400.0,27.8,1.11,23.8,6.61,パルグループホールディングス,5400.0,,,,
2730,エディオン,1999.0,14.5,2.35,6.5,0.94,エディオン,1999.0,,,,
2733,あらた,3215.0,9.1,3.48,10.0,0.91,あらた,3215.0,,,,
2734,サーラコーポレーション,1052.0,13.2,3.04,5.9,0.77,サーラコーポレーション,1052.0,,,,
2737,トーメンデバイス,6020.0,8.5,4.31,9.7,0.85,トーメンデバイス,6020.0,,,,
2749,JPホールディングス,564.0,12.8,2.12,19.2,2.47,JPホールディングス,564.0,,,,
2752,フジオフードグループ本社,1149.0,90.6,0.26,7.6,6.78,フジオフードグループ本社,1149.0,,,,
2760,東京エレクトロンデバイス,2767.0,11.7,3.46,14.6,1.74,東京エレクトロンデバイス,2767.0,,,,
2764,ひらまつ,130.0,131.3,0.0,1.2,1.56,ひらまつ,130.0,,,,
2767,円谷フィールズホールディングス,2447.0,13.5,2.04,21.9,2.87,円谷フィールズホールディングス,2447.0,,,,
2768,双日,3790.0,6.8,4.35,11.9,0.83,双日,3790.0,,,,
2782,セリア,3100.0,18.2,2.25,9.9,1.79,セリア,3100.0,,,,
2784,アルフレッサホールディングス,2258.0,16.4,3.01,5.2,0.85,アルフレッサホールディングス,2258.0,,,,
2790,ナフコ,1880.0,36.6,3.08,0.8,0.3,ナフコ,1880.0,,,,
2791,大黒天物産,8000.0,16.0,0.43,11.3,1.81,大黒天物産,8000.0,,,,
2792,ハニーズホールディングス,1515.0,10.5,3.63,8.9,0.94,ハニーズホールディングス,1515.0,,,,
2801,キッコーマン,1309.5,20.5,1.9,11.7,2.44,キッコーマン,1309.5,,,,
2802,味の素,3996.0,32.5,1.2,16.1,5.55,味の素,3996.0,,,,
2804,ブルドックソース,2105.0,12.4,2.13,10.3,1.18,ブルドックソース,2105.0,,,,
2809,キユーピー,4256.0,20.0,1.5,9.3,1.85,キユーピー,4256.0,,,,
2810,ハウス食品グループ本社,2842.5,20.3,1.68,4.4,0.91,ハウス食品グループ本社,2842.5,,,,
2811,カゴメ,2958.0,19.1,1.62,8.2,1.56,カゴメ,2958.0,,,,
2815,アリアケジャパン,6120.0,22.4,2.12,6.8,1.53,アリアケジャパン,6120.0,,,,
2871,ニチレイ,1705.5,14.4,2.75,11.3,1.66,ニチレイ,1705.5,,,,
2874,ヨコレイ,1126.0,23.7,2.13,3.5,0.82,ヨコレイ,1126.0,,,,
2875,東洋水産,9960.0,15.9,2.0,12.9,2.06,東洋水産,9960.0,,,,
2897,日清食品ホールディングス,2829.0,14.9,2.47,11.5,1.73,日清食品ホールディングス,2829.0,,,,
2908,フジッコ,1632.0,34.4,2.81,2.0,0.67,フジッコ,1632.0,,,,
2910,ロック・フィールド,1582.0,44.4,1.51,3.2,1.43,ロック・フィールド,1582.0,,,,
2914,日本たばこ産業,4777.0,17.1,4.35,12.2,2.08,日本たばこ産業,4777.0,,,,
2918,わらべや日洋ホールディングス,2749.0,12.3,3.27,6.9,0.84,わらべや日洋ホールディングス,2749.0,,,,
2929,ファーマフーズ,943.0,17.0,2.65,13.3,2.65,ファーマフーズ,943.0,,,,
2930,北の達人コーポレーション,149.0,33.4,2.34,7.9,2.68,北の達人コーポレーション,149.0,,,,
2931,ユーグレナ,506.0,,0.0,,2.24,ユーグレナ,506.0,,,,
2933,紀文食品,1143.0,8.6,2.05,14.5,1.25,紀文食品,1143.0,,,,
2975,スター・マイカ・ホールディングス,1069.0,10.5,2.8,12.1,1.27,スター・マイカ・ホールディングス,1069.0,,,,
2980,SREホールディングス,3180.0,23.0,0.56,16.3,3.75,SREホールディングス,3180.0,,,,
3001,片倉工業,2766.0,21.8,1.8,4.6,1.02,片倉工業,2766.0,,,,
3002,グンゼ,3760.0,43.6,5.74,2.4,1.1,グンゼ,3760.0,,,,
3003,ヒューリック,1578.5,11.0,3.61,12.7,1.41,ヒューリック,1578.5,,,,
3028,アルペン,2403.0,16.5,2.08,4.6,0.76,アルペン,2403.0,,,,
3030,ハブ,783.0,23.4,1.27,14.5,3.33,ハブ,783.0,,,,
3031,ラクーンホールディングス,697.0,15.7,3.15,20.4,3.2,ラクーンホールディングス,697.0,,,,
3034,クオールホールディングス,2144.0,11.4,2.14,12.3,1.4,クオールホールディングス,2144.0,,,,
3036,アルコニックス,2107.0,11.6,3.98,7.8,0.92,アルコニックス,2107.0,,,,
3038,神戸物産,4126.0,38.0,0.63,17.3,6.57,神戸物産,4126.0,,,,
3040,ソリトンシステムズ,1323.0,14.0,3.93,14.3,2.05,ソリトンシステムズ,1323.0,,,,
3046,ジンズホールディングス,8090.0,26.2,1.16,25.5,6.41,ジンズホールディングス,8090.0,,,,
3048,,,,,,,,,,,,
3050,DCMホールディングス,1477.0,10.0,3.11,7.4,0.73,DCMホールディングス,1477.0,,,,
3053,ペッパーフードサービス,213.0,242.0,0.0,1.7,4.19,ペッパーフードサービス,213.0,,,,
3064,MonotaRO,2730.0,44.7,1.13,26.7,11.94,MonotaRO,2730.0,,,,
3073,DDグループ,1696.0,13.1,0.0,29.8,5.11,DDグループ,1696.0,,,,
